Crop,MinYield,MaxPesticide,MinInventory,MinTemperature,MaxTemperature,MinPrice,MaxPrice
abaca manila hemp raw,463.5,50,5,10,35,3945.0,5753.75
agave fibres raw n e c,456.025,50,5,10,35,2413.0,6202.5
almonds in shell,740.4,50,5,10,35,2386.25,5833.5
anise badian coriander cumin caraway fennel and juniper berries raw,865.025,50,5,10,35,2767.5,5806.25
apple,12492.225,50,5,10,35,7695.0,10485.0
apricots,3868.65,50,5,10,35,2274.25,5902.0
areca nuts,1686.1,50,5,10,35,2137.5,5555.0
arhar,1795.8,50,5,10,35,5936.25,7137.5
artichokes,9226.675,50,5,10,35,2771.5,6662.75
asparagus,3735.2,50,5,10,35,2786.25,5650.0
avocados,4617.4,50,5,10,35,2200.0,5425.75
bajra,1998.3,50,5,10,35,2286.25,2587.5
bambara beans dry,596.6,50,5,10,35,2375.25,5527.0
banana,8447.2,50,5,10,35,2130.0,2962.5
barley,1658.475,50,5,10,35,2598.5,5229.5
beans dry,659.825,50,5,10,35,2703.75,6233.75
bhindi,1516.325,50,5,10,35,1713.75,3250.0
blackgram,1821.425,50,5,10,35,3402.0,6135.0
blueberries,5462.175,50,5,10,35,4175.0,6816.25
brinjal,1063.325,50,5,10,35,1245.0,1913.75
broad beans and horse beans dry,1429.125,50,5,10,35,3987.5,6496.25
broad beans and horse beans green,3219.15,50,5,10,35,2388.75,5043.75
buckwheat,729.3,50,5,10,35,3922.0,7001.0
cabbage,2901.15,50,5,10,35,1045.0,2225.0
cabbages,14887.95,50,5,10,35,2409.0,6021.25
canary seed,620.2,50,5,10,35,2713.38,6213.75
cantaloupes and other melons,15011.625,50,5,10,35,3918.75,6000.0
carrot,1275.925,50,5,10,35,1047.5,5150.0
carrots and turnips,18413.8,50,5,10,35,3635.0,6487.75
cashew nuts in shell,415.975,50,5,10,35,2400.0,6015.0
cashewapple,2587.6,50,5,10,35,2375.0,6880.0
cassava fresh,11046.475,50,5,10,35,2983.75,5468.75
cassava leaves,10000.0,50,5,10,35,2591.25,7155.0
castor oil seeds,635.45,50,5,10,35,2126.25,5968.25
cauliflower,3028.125,50,5,10,35,1341.25,2892.5
cauliflowers and broccoli,16359.025,50,5,10,35,2544.25,6095.0
cereals n e c,877.6,50,5,10,35,2826.25,5861.5
cereals primary,2645.425,50,5,10,35,3377.5,7387.75
cherries,3990.675,50,5,10,35,2587.5,6056.25
chestnuts in shell,1369.5,50,5,10,35,2831.25,6037.5
