Farmer_ID,Crop,Yield,Temperature,Inventory,Pesticide,Price
F00001,cabbages,8120.4,23.503,2.0,59.64,2980.0
F00002,chicory roots,34710.1,11.8993,5.0,65.15,4481.0
F00003,agave fibres raw n e c,942.3,23.1144,10.0,51.98,2700.0
F00004,mothbeans,167.0,29.9884,7.0,43.44,3810.0
F00005,karite nuts,1731.2,21.8013,48.0,43.36,4305.0
F00006,maize,5076.3,24.8402,26.0,33.06,2000.0
F00007,jowar,1038.4,28.9186,13.0,10.24,2350.0
F00008,sesame seed,1677.3,22.2174,9.0,61.75,5420.0
F00009,raw milk of buffalo,5000.0,23.2925,13.0,45.27,3750.0
F00010,hop cones,1227.2,27.7168,2.0,19.62,2445.0
F00011,mangoes guavas and mangosteens,7183.9,18.4789,5.0,50.35,2252.0
F00012,other stone fruits,1873.0,22.4408,16.0,52.65,2850.0
F00013,unmanufactured tobacco,377.1,41.3133,8.0,48.76,4500.0
F00014,pomegranate,3955.9,22.9205,12.0,61.88,8525.0
F00015,lentil,18.0,24.9108,4.0,52.4,6900.0
F00016,lentil,6808.7,21.3638,68.0,27.29,6248.0
F00017,peas green,6000.0,27.6982,28.0,69.36,4020.0
F00018,castor oil seeds,1818.2,24.4131,2.0,25.46,5625.0
F00019,other vegetables fresh n e c,3489.7,25.6732,16.0,52.33,6950.0
F00020,fonio,645.2,22.9639,6.0,33.69,2885.0
F00021,pears,9253.8,31.2999,26.0,44.38,4205.0
F00022,roots and tubers total,11240.5,24.7224,3.0,43.87,5200.0
F00023,avocados,6384.2,33.804,2.0,12.15,4350.0
F00024,raspberries,4490.7,23.5588,2.0,20.72,19900.0
F00025,plantains and cooking bananas,2214.1,27.6089,44.0,33.19,1650.0
F00026,lemons and limes,19086.4,23.986,2.0,46.17,9020.0
F00027,gooseberries,5833.3,31.3573,10.0,15.93,4145.0
F00028,avocados,5105.5,35.3999,24.0,29.99,7625.0
F00029,chicory roots,22223.3,29.541,2.0,46.66,2280.0
F00030,taro,4058.6,19.5413,7.0,66.83,1735.0
